Date,Real Rate,Policy Deviations,TR Cape,M2 (in Billions),Gold,BAA Spread,Bank Credit (in Billions),VIX,Michigan Sentiment 
6/1/10,2.2498,1.23178,21.86,8628.4,1205.4,3.03,8930.3517,35.54,76
7/1/10,2.05225,1.12186,21.77,8639.8,1232.9,3,8962.2573,32.86,67.8
8/1/10,1.7829,0.85251,21.88,8688.2,1193,2.96,8990.256,22.01,68.9
9/1/10,1.83561,0.90522,22.55,8718.9,1215.8,3.01,8985.2491,23.89,68.2
10/1/10,1.93728,1.02856,23.49,8768.7,1271,3.18,9003.9108,22.5,67.7
11/1/10,2.08794,1.17922,23.99,8789.3,1342,3.16,9015.8318,21.83,71.6
12/1/10,2.62811,1.71938,24.75,8822.9,1369.9,2.81,8979.8338,21.36,74.5
1/1/11,2.40647,1.64262,25.38,8845.2,1390.6,2.7,8949.18,17.61,74.2
2/1/11,2.45555,1.69171,25.93,8909,1356.4,2.57,8913.0881,17.63,77.5
3/1/11,2.20021,1.43637,25.27,8967,1372.7,2.62,8911.2551,21.01,67.5
4/1/11,2.14446,1.22395,25.53,9030.4,1424,2.56,8929.0209,17.4,69.8
5/1/11,1.7159,0.79539,25.42,9102.7,1473.8,2.61,8926.1766,15.99,74.3
6/1/11,1.41632,0.49581,24.36,9176.7,1510.4,2.75,8926.2986,18.3,71.5
7/1/11,1.25852,0.49274,24.92,9338.7,1528.7,2.76,8945.9336,15.87,63.7
8/1/11,0.33484,-0.43094,22.09,9525.1,1572.8,3.06,8987.0907,23.66,55.8
9/1/11,-0.00772,-0.7735,21.71,9545.3,1755.8,3.29,9006.5705,31.82,59.5
10/1/11,0.04208,-0.83929,22.21,9578.1,1771.9,3.22,9045.8341,45.45,60.8
11/1/11,-0.1282,-1.00957,22.42,9629.8,1665.2,3.13,9089.236,34.77,63.7
12/1/11,-0.29666,-1.17803,22.62,9677.4,1739,3.27,9105.1726,27.41,69.9
1/1/12,-0.30735,-1.31746,23.39,9750.5,1652.3,3.26,9178.0967,22.97,75
2/1/12,-0.18982,-1.19993,24.03,9802.2,1656.1,3.17,9270.5822,18.55,75.3
